scenario,name,skl_version,problem,method_name,output_index,fit,conv_options,idtype,predict_kwargs,init_types,inst,n_features,training_time,skl_nop,fit_cluster_centers_.shape,fit_labels_.shape,fit_inertia_.shape,ort_version,prediction_time,assume_finite,bench-skl,opset,convert_time,optim,onx_size,onx_nnodes,onx_ninits,onx_doc_string,onx_ir_version,onx_domain,onx_model_version,onx_producer_name,onx_producer_version,onx_,onx_size_optim,onx_nnodes_optim,onx_ninits_optim,domain_opset_,tostring_time,runtime,ort_run_time_batch,bench-batch,max_rel_diff_batch,available,time-ratio-N=1,time-ratio-N=1-min,time-ratio-N=1-max,time-ratio-N=10,time-ratio-N=10-min,time-ratio-N=10-max,time-ratio-N=100,time-ratio-N=100-min,time-ratio-N=100-max,time-ratio-N=1000,time-ratio-N=1000-min,time-ratio-N=1000-max,time-ratio-N=10000,time-ratio-N=10000-min,time-ratio-N=10000-max,time-ratio-N=100000,time-ratio-N=100000-min,time-ratio-N=100000-max,subfolder,cl,package,fit_mean_.shape,fit_components_.shape,fit_explained_variance_.shape,fit_explained_variance_ratio_.shape,fit_singular_values_.shape,fit_n_features_,skl_nnodes,skl_ntrees,skl_max_depth,fit_classes_.shape,fit_n_classes_,fit_estimators_.size,fit_estimators_.sum|tree_.leave_count,fit_estimators_.sum|tree_.node_count,fit_estimators_.n_features_,fit_estimators_.max|tree_.max_depth,fit_estimators_.n_classes_,fit_estimators_.classes_.shape,onx_ai.onnx.ml,onx_op_Cast,onx_op_ZipMap,domain_opset_ai.onnx.ml,fit_estimators_.n_classes_.shape,onx_op_Reshape,_5ort_load_exc,available-ERROR,skl_ncoef,skl_nlin,fit_coef_.shape,fit_singular_.shape,fit_intercept_.shape,fit_n_iter_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape,_1training_time_exc
default,KMeans,0.22.2.post1,~num-tr-clu,transform,1,True,{},float32,{},"",{'random_state': 42},4,0.12872171821072698,1.0,"(8, 4)",112.0,1.0,0.3.1037,0.000185518991202116,True,"{1: {'average': 0.0001155341475236195, 'deviation': 7.731178489818524e-06, 'min_exec': 0.00011195862251851294, 'max_exec': 0.00015089976497822336, 'repeat': 60, 'number': 90, 'total': 0.6238843966275454}, 10: {'average': 0.00011624663072224292, 'deviation': 6.721766131691717e-07, 'min_exec': 0.00011553596705198288, 'max_exec': 0.000119307489755253, 'repeat': 60, 'number': 60, 'total': 0.41848787060007453}, 100: {'average': 0.0001256444982977377, 'deviation': 5.31745389300588e-07, 'min_exec': 0.00012474419781938195, 'max_exec': 0.00012664692864442864, 'repeat': 15, 'number': 24, 'total': 0.045232019387185574}, 1000: {'average': 0.0001901877774960465, 'deviation': 8.318618576586164e-07, 'min_exec': 0.0001887087399760882, 'max_exec': 0.00019139281163613002, 'repeat': 15, 'number': 15, 'total': 0.04279224993661046}, 10000: {'average': 0.0007833470073011187, 'deviation': 7.12967385813392e-06, 'min_exec': 0.000779449577546782, 'max_exec': 0.0008022856588164965, 'repeat': 9, 'number': 9, 'total': 0.06345110759139061}, 100000: {'average': 0.007506827979038159, 'deviation': 7.786835257409177e-05, 'min_exec': 0.0074404932868977385, 'max_exec': 0.007616120235373576, 'repeat': 3, 'number': 3, 'total': 0.06756145181134343}}",11,0.10263815289363265,,760.0,7.0,3.0,,6.0,ai.onnx,0.0,skl2onnx,1.6.996,11.0,764.0,7.0,3.0,11.0,0.08203926496207714,python_compiled,0.03938691504299641,"{1: {'average': 5.039147196199607e-05, 'deviation': 4.893098655694458e-06, 'min_exec': 4.6995732312401135e-05, 'max_exec': 6.426722328695986e-05, 'repeat': 60, 'number': 90, 'total': 0.2721139485947788}, 10: {'average': 5.0460396515619426e-05, 'deviation': 2.8306389581228066e-07, 'min_exec': 4.9944788527985415e-05, 'max_exec': 5.140350355456273e-05, 'repeat': 60, 'number': 60, 'total': 0.18165742745622993}, 100: {'average': 6.199258690079054e-05, 'deviation': 5.265202919996077e-07, 'min_exec': 6.153554810831945e-05, 'max_exec': 6.316037615761161e-05, 'repeat': 15, 'number': 24, 'total': 0.02231733128428459}, 1000: {'average': 0.00013215073073903717, 'deviation': 1.0141487322495335e-06, 'min_exec': 0.0001311553952594598, 'max_exec': 0.00013485439121723174, 'repeat': 15, 'number': 15, 'total': 0.02973391441628337}, 10000: {'average': 0.0007367170542294596, 'deviation': 2.4667632008940574e-06, 'min_exec': 0.000734635680500004, 'max_exec': 0.0007431158899433083, 'repeat': 9, 'number': 9, 'total': 0.05967408139258623}, 100000: {'average': 0.011283707649757465, 'deviation': 9.306745941169965e-06, 'min_exec': 0.011276339956869682, 'max_exec': 0.011296836659312248, 'repeat': 3, 'number': 3, 'total': 0.10155336884781718}}",3.9308528570578256e-06,OK-11/,0.43616084977555375,0.31143674954817313,0.5740265630396886,0.43408050798640657,0.41862240694563263,0.4449134314289752,0.49339674829126,0.4858826721418994,0.5063191496013465,0.694843446192457,0.6852681359256496,0.7146165632514927,0.9404734394373775,0.9156784400006759,0.9533854547489405,1.5031259116721138,1.480588489726826,1.5182913583438478,cluster,<class 'sklearn.cluster._kmeans.KMeans'>,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default,KMeans,0.22.2.post1,~num-tr-clu,transform,1,True,{},float32,{},"",{'random_state': 42},4,0.12872171821072698,1.0,"(8, 4)",112.0,1.0,0.3.1037,0.000185518991202116,True,"{1: {'average': 0.0001155341475236195, 'deviation': 7.731178489818524e-06, 'min_exec': 0.00011195862251851294, 'max_exec': 0.00015089976497822336, 'repeat': 60, 'number': 90, 'total': 0.6238843966275454}, 10: {'average': 0.00011624663072224292, 'deviation': 6.721766131691717e-07, 'min_exec': 0.00011553596705198288, 'max_exec': 0.000119307489755253, 'repeat': 60, 'number': 60, 'total': 0.41848787060007453}, 100: {'average': 0.0001256444982977377, 'deviation': 5.31745389300588e-07, 'min_exec': 0.00012474419781938195, 'max_exec': 0.00012664692864442864, 'repeat': 15, 'number': 24, 'total': 0.045232019387185574}, 1000: {'average': 0.0001901877774960465, 'deviation': 8.318618576586164e-07, 'min_exec': 0.0001887087399760882, 'max_exec': 0.00019139281163613002, 'repeat': 15, 'number': 15, 'total': 0.04279224993661046}, 10000: {'average': 0.0007833470073011187, 'deviation': 7.12967385813392e-06, 'min_exec': 0.000779449577546782, 'max_exec': 0.0008022856588164965, 'repeat': 9, 'number': 9, 'total': 0.06345110759139061}, 100000: {'average': 0.007506827979038159, 'deviation': 7.786835257409177e-05, 'min_exec': 0.0074404932868977385, 'max_exec': 0.007616120235373576, 'repeat': 3, 'number': 3, 'total': 0.06756145181134343}}",11,0.0021708188578486443,,760.0,7.0,3.0,,6.0,ai.onnx,0.0,skl2onnx,1.6.996,11.0,764.0,7.0,3.0,11.0,0.019159804098308086,onnxruntime1,0.00012401817366480827,"{1: {'average': 2.6493370619223074e-05, 'deviation': 2.913837451165785e-07, 'min_exec': 2.6116354597939386e-05, 'max_exec': 2.757465052935812e-05, 'repeat': 60, 'number': 90, 'total': 0.1430642013438046}, 10: {'average': 2.7866338431421255e-05, 'deviation': 2.1372613216528264e-07, 'min_exec': 2.759085036814213e-05, 'max_exec': 2.8442637994885444e-05, 'repeat': 60, 'number': 60, 'total': 0.10031881835311651}, 100: {'average': 3.8676884853177594e-05, 'deviation': 4.2995815627620786e-07, 'min_exec': 3.828962023059527e-05, 'max_exec': 3.958091838285327e-05, 'repeat': 15, 'number': 24, 'total': 0.013923678547143936}, 1000: {'average': 0.00012712410133745936, 'deviation': 9.125803500922292e-07, 'min_exec': 0.0001258209968606631, 'max_exec': 0.00012911446392536164, 'repeat': 15, 'number': 15, 'total': 0.028602922800928354}, 10000: {'average': 0.0010591257754483342, 'deviation': 7.045514260441177e-06, 'min_exec': 0.001051350910630491, 'max_exec': 0.0010746365620030297, 'repeat': 9, 'number': 9, 'total': 0.08578918781131506}, 100000: {'average': 0.01037844451558259, 'deviation': 0.00012686385345438996, 'min_exec': 0.010236127922932306, 'max_exec': 0.010544213311125835, 'repeat': 3, 'number': 3, 'total': 0.09340600064024329}}",3.9308528570578256e-06,OK-11/,0.2293120361995733,0.17307087656305023,0.2462932278824573,0.23971738585700997,0.2312583260677256,0.24617994483127753,0.30782792225032896,0.30233358708679337,0.3172966685004682,0.6684136226372482,0.6573966691072495,0.6841997034250882,1.3520518564274109,1.31044460171631,1.3787120975616038,1.3825339470363576,1.344008183509227,1.417139012771312,cluster,<class 'sklearn.cluster._kmeans.KMeans'>,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default,KMeans,0.22.2.post1,~num-tr-clu,transform,1,True,{},float32,{},"",{'random_state': 42},4,0.042942133732140064,1.0,"(8, 4)",112.0,1.0,0.3.1037,0.00015127705410122871,True,"{1: {'average': 0.00011254911405827713, 'deviation': 4.429147481670117e-07, 'min_exec': 0.00011193638977905115, 'max_exec': 0.00011505417836209139, 'repeat': 60, 'number': 90, 'total': 0.6077652159146965}, 10: {'average': 0.0001164880525579469, 'deviation': 1.0215310565952148e-06, 'min_exec': 0.00011558025144040585, 'max_exec': 0.00012154565968861183, 'repeat': 60, 'number': 60, 'total': 0.41935698920860887}, 100: {'average': 0.00012590473828216393, 'deviation': 5.447522171135708e-07, 'min_exec': 0.0001250063069164753, 'max_exec': 0.0001267644305092593, 'repeat': 15, 'number': 24, 'total': 0.04532570578157902}, 1000: {'average': 0.00019147392362356186, 'deviation': 1.066631020383897e-06, 'min_exec': 0.00018992287417252858, 'max_exec': 0.0001940598711371422, 'repeat': 15, 'number': 15, 'total': 0.04308163281530142}, 10000: {'average': 0.000789100459466378, 'deviation': 1.6682646835282287e-06, 'min_exec': 0.000786941239817275, 'max_exec': 0.0007931500052412351, 'repeat': 9, 'number': 9, 'total': 0.06391713721677661}, 100000: {'average': 0.007111135352816847, 'deviation': 7.510973947835487e-06, 'min_exec': 0.007103253776828448, 'max_exec': 0.007121243203679721, 'repeat': 3, 'number': 3, 'total': 0.06400021817535162}}",11,0.004133245907723904,,760.0,7.0,3.0,,6.0,ai.onnx,0.0,skl2onnx,1.6.996,11.0,764.0,7.0,3.0,11.0,0.001157489139586687,python_compiled,0.00011788122355937958,"{1: {'average': 4.801506745732494e-05, 'deviation': 1.2294452526578251e-06, 'min_exec': 4.693731251690123e-05, 'max_exec': 5.0449479992191e-05, 'repeat': 60, 'number': 90, 'total': 0.2592813642695546}, 10: {'average': 5.0487687242113884e-05, 'deviation': 2.3803127726746912e-07, 'min_exec': 5.001536725709836e-05, 'max_exec': 5.116916727274656e-05, 'repeat': 60, 'number': 60, 'total': 0.18175567407160997}, 100: {'average': 6.20577911225458e-05, 'deviation': 4.4927753958201897e-07, 'min_exec': 6.152730202302337e-05, 'max_exec': 6.265724853922923e-05, 'repeat': 15, 'number': 24, 'total': 0.022340804804116488}, 1000: {'average': 0.00013145060588916143, 'deviation': 6.711716366270755e-07, 'min_exec': 0.00013077665741244952, 'max_exec': 0.00013267907003561657, 'repeat': 15, 'number': 15, 'total': 0.02957638632506132}, 10000: {'average': 0.0007361241351859068, 'deviation': 2.6497349310176467e-06, 'min_exec': 0.0007345611229538918, 'max_exec': 0.0007435436774459151, 'repeat': 9, 'number': 9, 'total': 0.05962605495005846}, 100000: {'average': 0.010907718394365577, 'deviation': 7.72706987318685e-06, 'min_exec': 0.010897441611935696, 'max_exec': 0.010916074272245169, 'repeat': 3, 'number': 3, 'total': 0.09816946554929018}}",3.9308528570578256e-06,OK-11/,0.4266143528456659,0.4079583478418578,0.45069775871610784,0.4334151540304858,0.4114944736425214,0.44271548672940736,0.4928948026043998,0.48536724202400927,0.5012326984517232,0.6865196231503231,0.6738985069202154,0.6985944721702614,0.9328649177111165,0.9261313977177322,0.9448528553651139,1.5338926701830862,1.5302723555775655,1.5367709806250394,cluster,<class 'sklearn.cluster._kmeans.KMeans'>,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default,KMeans,0.22.2.post1,~num-tr-clu,transform,1,True,{},float32,{},"",{'random_state': 42},4,0.042942133732140064,1.0,"(8, 4)",112.0,1.0,0.3.1037,0.00015127705410122871,True,"{1: {'average': 0.00011254911405827713, 'deviation': 4.429147481670117e-07, 'min_exec': 0.00011193638977905115, 'max_exec': 0.00011505417836209139, 'repeat': 60, 'number': 90, 'total': 0.6077652159146965}, 10: {'average': 0.0001164880525579469, 'deviation': 1.0215310565952148e-06, 'min_exec': 0.00011558025144040585, 'max_exec': 0.00012154565968861183, 'repeat': 60, 'number': 60, 'total': 0.41935698920860887}, 100: {'average': 0.00012590473828216393, 'deviation': 5.447522171135708e-07, 'min_exec': 0.0001250063069164753, 'max_exec': 0.0001267644305092593, 'repeat': 15, 'number': 24, 'total': 0.04532570578157902}, 1000: {'average': 0.00019147392362356186, 'deviation': 1.066631020383897e-06, 'min_exec': 0.00018992287417252858, 'max_exec': 0.0001940598711371422, 'repeat': 15, 'number': 15, 'total': 0.04308163281530142}, 10000: {'average': 0.000789100459466378, 'deviation': 1.6682646835282287e-06, 'min_exec': 0.000786941239817275, 'max_exec': 0.0007931500052412351, 'repeat': 9, 'number': 9, 'total': 0.06391713721677661}, 100000: {'average': 0.007111135352816847, 'deviation': 7.510973947835487e-06, 'min_exec': 0.007103253776828448, 'max_exec': 0.007121243203679721, 'repeat': 3, 'number': 3, 'total': 0.06400021817535162}}",11,0.0021376139484345913,,760.0,7.0,3.0,,6.0,ai.onnx,0.0,skl2onnx,1.6.996,11.0,764.0,7.0,3.0,11.0,0.0012487550266087055,onnxruntime1,8.403602987527847e-05,"{1: {'average': 2.7236392704287062e-05, 'deviation': 7.209932816072393e-07, 'min_exec': 2.6201751704017322e-05, 'max_exec': 2.899467945098877e-05, 'repeat': 60, 'number': 90, 'total': 0.14707652060315013}, 10: {'average': 2.7832929044961927e-05, 'deviation': 2.837021091806287e-07, 'min_exec': 2.7515669353306292e-05, 'max_exec': 2.8994400054216385e-05, 'repeat': 60, 'number': 60, 'total': 0.10019854456186295}, 100: {'average': 3.958105808123947e-05, 'deviation': 5.121616238876223e-07, 'min_exec': 3.9045504915217556e-05, 'max_exec': 4.076525025690595e-05, 'repeat': 15, 'number': 24, 'total': 0.014249180909246206}, 1000: {'average': 0.00012648923115597834, 'deviation': 1.0087572095267254e-06, 'min_exec': 0.0001248421457906564, 'max_exec': 0.00012799988811214766, 'repeat': 15, 'number': 15, 'total': 0.02846007701009512}, 10000: {'average': 0.0010544295756169306, 'deviation': 1.4899327848435407e-05, 'min_exec': 0.0010451088245544168, 'max_exec': 0.0010957732900149291, 'repeat': 9, 'number': 9, 'total': 0.08540879562497139}, 100000: {'average': 0.010226365282303758, 'deviation': 0.00020154285896369504, 'min_exec': 0.010048557383318743, 'max_exec': 0.01050818773607413, 'repeat': 3, 'number': 3, 'total': 0.09203728754073381}}",3.9308528570578256e-06,OK-11/,0.2419956205979929,0.2277340299763542,0.259028181168079,0.2389337655989781,0.22638134034402185,0.2508594651151641,0.31437306189807357,0.3080162531268228,0.326105548291606,0.6606081327536613,0.643317678503612,0.67395719799328,1.336242506220284,1.3176685590975301,1.39244613774386,1.4380777154316031,1.411067856540331,1.4793484882031005,cluster,<class 'sklearn.cluster._kmeans.KMeans'>,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default,KMeans,0.22.2.post1,cluster,predict,0,True,{},float32,{},"",{'random_state': 42},4,0.04295189259573817,1.0,"(8, 4)",112.0,1.0,0.3.1037,0.00034032901749014854,True,"{1: {'average': 0.0002632866376424553, 'deviation': 1.0139288834224373e-05, 'min_exec': 0.0002593120973971155, 'max_exec': 0.0003316522679395146, 'repeat': 60, 'number': 90, 'total': 1.4217478432692587}, 10: {'average': 0.0002673979412712571, 'deviation': 1.2880786672832148e-06, 'min_exec': 0.00026580378568420807, 'max_exec': 0.000273206348841389, 'repeat': 60, 'number': 60, 'total': 0.9626325885765254}, 100: {'average': 0.0002806352968845103, 'deviation': 2.3350019361359783e-06, 'min_exec': 0.0002782171165260176, 'max_exec': 0.00028673345999171335, 'repeat': 15, 'number': 24, 'total': 0.10102870687842369}, 1000: {'average': 0.0003739311297734579, 'deviation': 1.2426949703520148e-06, 'min_exec': 0.00037229073544343315, 'max_exec': 0.00037625934928655627, 'repeat': 15, 'number': 15, 'total': 0.08413450419902802}, 10000: {'average': 0.00109152205541362, 'deviation': 1.1413996060571625e-06, 'min_exec': 0.0010902123111817571, 'max_exec': 0.0010937504573828643, 'repeat': 9, 'number': 9, 'total': 0.08841328648850322}, 100000: {'average': 0.009186937111533351, 'deviation': 1.59502284477286e-05, 'min_exec': 0.009168092006196579, 'max_exec': 0.009207095640401045, 'repeat': 3, 'number': 3, 'total': 0.08268243400380015}}",11,0.003370372112840414,,760.0,7.0,3.0,,6.0,ai.onnx,0.0,skl2onnx,1.6.996,11.0,764.0,7.0,3.0,11.0,0.001043893862515688,python_compiled,0.0001043262891471386,"{1: {'average': 4.8049135754505795e-05, 'deviation': 1.1605853235179358e-06, 'min_exec': 4.686359316110611e-05, 'max_exec': 5.0156346211830775e-05, 'repeat': 60, 'number': 90, 'total': 0.2594653330743313}, 10: {'average': 5.027628671895298e-05, 'deviation': 2.3125423954170333e-07, 'min_exec': 4.9779401160776614e-05, 'max_exec': 5.0995444568494955e-05, 'repeat': 60, 'number': 60, 'total': 0.18099463218823075}, 100: {'average': 6.178811632303727e-05, 'deviation': 4.445841273704729e-07, 'min_exec': 6.133024968827765e-05, 'max_exec': 6.245887683083613e-05, 'repeat': 15, 'number': 24, 'total': 0.02224372187629342}, 1000: {'average': 0.00013037210744288233, 'deviation': 1.3073091285082607e-06, 'min_exec': 0.0001290370710194111, 'max_exec': 0.00013406466071804365, 'repeat': 15, 'number': 15, 'total': 0.029333724174648523}, 10000: {'average': 0.0007157759154560389, 'deviation': 4.278542466917877e-06, 'min_exec': 0.0007127450986040963, 'max_exec': 0.0007268491511543592, 'repeat': 9, 'number': 9, 'total': 0.057977849151939154}, 100000: {'average': 0.01061846548691392, 'deviation': 2.13282095317543e-05, 'min_exec': 0.010600829652200142, 'max_exec': 0.010648474718133608, 'repeat': 3, 'number': 3, 'total': 0.09556618938222528}}",0.0,OK-11/,0.18249743391746598,0.14130340025189547,0.19342077255663237,0.1880204704640979,0.1822044083963665,0.19185371809971438,0.2201722912583762,0.2138928944325162,0.2244968879367825,0.34865272522741514,0.3429471487262299,0.3601074320540372,0.655759461667317,0.6516523890737921,0.6667042223789206,1.1558221590069901,1.1513760762605034,1.1614711884366409,cluster,<class 'sklearn.cluster._kmeans.KMeans'>,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default,KMeans,0.22.2.post1,cluster,predict,0,True,{},float32,{},"",{'random_state': 42},4,0.04295189259573817,1.0,"(8, 4)",112.0,1.0,0.3.1037,0.00034032901749014854,True,"{1: {'average': 0.0002632866376424553, 'deviation': 1.0139288834224373e-05, 'min_exec': 0.0002593120973971155, 'max_exec': 0.0003316522679395146, 'repeat': 60, 'number': 90, 'total': 1.4217478432692587}, 10: {'average': 0.0002673979412712571, 'deviation': 1.2880786672832148e-06, 'min_exec': 0.00026580378568420807, 'max_exec': 0.000273206348841389, 'repeat': 60, 'number': 60, 'total': 0.9626325885765254}, 100: {'average': 0.0002806352968845103, 'deviation': 2.3350019361359783e-06, 'min_exec': 0.0002782171165260176, 'max_exec': 0.00028673345999171335, 'repeat': 15, 'number': 24, 'total': 0.10102870687842369}, 1000: {'average': 0.0003739311297734579, 'deviation': 1.2426949703520148e-06, 'min_exec': 0.00037229073544343315, 'max_exec': 0.00037625934928655627, 'repeat': 15, 'number': 15, 'total': 0.08413450419902802}, 10000: {'average': 0.00109152205541362, 'deviation': 1.1413996060571625e-06, 'min_exec': 0.0010902123111817571, 'max_exec': 0.0010937504573828643, 'repeat': 9, 'number': 9, 'total': 0.08841328648850322}, 100000: {'average': 0.009186937111533351, 'deviation': 1.59502284477286e-05, 'min_exec': 0.009168092006196579, 'max_exec': 0.009207095640401045, 'repeat': 3, 'number': 3, 'total': 0.08268243400380015}}",11,0.002172031905502081,,760.0,7.0,3.0,,6.0,ai.onnx,0.0,skl2onnx,1.6.996,11.0,764.0,7.0,3.0,11.0,0.0012418548576533794,onnxruntime1,8.380413055419922e-05,"{1: {'average': 2.746686141041142e-05, 'deviation': 8.948681904244323e-07, 'min_exec': 2.6230400221215355e-05, 'max_exec': 2.9389487786425485e-05, 'repeat': 60, 'number': 90, 'total': 0.14832105161622167}, 10: {'average': 2.8021513070497246e-05, 'deviation': 2.790351328166709e-07, 'min_exec': 2.77167030920585e-05, 'max_exec': 2.943620396157106e-05, 'repeat': 60, 'number': 60, 'total': 0.10087744705379009}, 100: {'average': 3.927492588344548e-05, 'deviation': 4.3152521434277793e-07, 'min_exec': 3.89719110292693e-05, 'max_exec': 4.015616529310743e-05, 'repeat': 15, 'number': 24, 'total': 0.014138973318040371}, 1000: {'average': 0.00012756510948141414, 'deviation': 1.0809217969889054e-06, 'min_exec': 0.00012632726381222407, 'max_exec': 0.00012998785823583602, 'repeat': 15, 'number': 15, 'total': 0.028702149633318186}, 10000: {'average': 0.0010588924618966785, 'deviation': 6.371916984826734e-06, 'min_exec': 0.0010490873311128882, 'max_exec': 0.0010678118819163905, 'repeat': 9, 'number': 9, 'total': 0.08577028941363096}, 100000: {'average': 0.010296462310685052, 'deviation': 0.00016779546913901774, 'min_exec': 0.010139720048755407, 'max_exec': 0.010529128213723501, 'repeat': 3, 'number': 3, 'total': 0.09266816079616547}}",0.0,OK-11/,0.10432303612654878,0.0790900673894959,0.11333635446023123,0.10479330146402031,0.10144970352848402,0.11074411105846008,0.13995005731445204,0.1359168582222514,0.1443339137236447,0.3411460007587442,0.3357451822838671,0.3491568439945418,0.9701063360514719,0.9591651587722793,0.9794531495969944,1.120772046840159,1.101294093683786,1.1484535939001286,cluster,<class 'sklearn.cluster._kmeans.KMeans'>,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default,KMeans,0.22.2.post1,cluster,predict,0,True,{},float32,{},"",{'random_state': 42},50,0.04706860799342394,1.0,"(8, 50)",112.0,1.0,0.3.1037,0.00031662872061133385,True,"{1: {'average': 0.0002597190413831009, 'deviation': 1.2609589452717802e-06, 'min_exec': 0.00025762045859462686, 'max_exec': 0.0002642162972026401, 'repeat': 60, 'number': 90, 'total': 1.4024828234687448}, 10: {'average': 0.000270859689788065, 'deviation': 4.958076093952077e-06, 'min_exec': 0.0002678686054423451, 'max_exec': 0.0002971331123262644, 'repeat': 60, 'number': 60, 'total': 0.9750948832370341}, 100: {'average': 0.0002977208014474147, 'deviation': 3.1772788371960613e-06, 'min_exec': 0.0002953209332190454, 'max_exec': 0.00030609317279110354, 'repeat': 15, 'number': 24, 'total': 0.10717948852106929}, 1000: {'average': 0.0004393956106570032, 'deviation': 1.5814325794039927e-06, 'min_exec': 0.0004379283326367537, 'max_exec': 0.0004445311923821767, 'repeat': 15, 'number': 15, 'total': 0.09886401239782572}, 10000: {'average': 0.0018892855107508323, 'deviation': 2.865881674175608e-05, 'min_exec': 0.0018617728621595437, 'max_exec': 0.0019592843535873625, 'repeat': 9, 'number': 9, 'total': 0.15303212637081742}, 100000: {'average': 0.01919399750315481, 'deviation': 5.3210875207647925e-05, 'min_exec': 0.019122489417592686, 'max_exec': 0.01925005034233133, 'repeat': 3, 'number': 3, 'total': 0.17274597752839327}}",11,0.0034223212860524654,,2232.0,7.0,3.0,,6.0,ai.onnx,0.0,skl2onnx,1.6.996,11.0,2236.0,7.0,3.0,11.0,0.0011235950514674187,python_compiled,0.00011530984193086624,"{1: {'average': 4.842860934635003e-05, 'deviation': 1.2947855892268483e-06, 'min_exec': 4.712783007158173e-05, 'max_exec': 5.1869343345363934e-05, 'repeat': 60, 'number': 90, 'total': 0.2615144904702902}, 10: {'average': 5.421557140329646e-05, 'deviation': 1.1961864335588885e-06, 'min_exec': 5.294398094216982e-05, 'max_exec': 5.888858965287606e-05, 'repeat': 60, 'number': 60, 'total': 0.19517605705186725}, 100: {'average': 7.073409441444609e-05, 'deviation': 8.477585371554132e-07, 'min_exec': 6.989866960793734e-05, 'max_exec': 7.249482829744618e-05, 'repeat': 15, 'number': 24, 'total': 0.025464273989200592}, 1000: {'average': 0.00017460991524987754, 'deviation': 6.630157809823849e-06, 'min_exec': 0.0001715315195421378, 'max_exec': 0.00019605740283926327, 'repeat': 15, 'number': 15, 'total': 0.03928723093122244}, 10000: {'average': 0.0011715695928828215, 'deviation': 7.931453843183777e-06, 'min_exec': 0.0011621785557104482, 'max_exec': 0.001188476983871725, 'repeat': 9, 'number': 9, 'total': 0.09489713702350855}, 100000: {'average': 0.014260421817501387, 'deviation': 3.6819127449581014e-05, 'min_exec': 0.014217506318042675, 'max_exec': 0.014307417130718628, 'repeat': 3, 'number': 3, 'total': 0.12834379635751247}}",0.0,OK-11/,0.18646537846609013,0.17836836928888283,0.2013401560897841,0.20016109243024532,0.1781827024516714,0.21984132689095956,0.23758532850429528,0.22835749314683476,0.24547812275696462,0.3973865714971374,0.3858706036418408,0.44769289454008915,0.620112516724495,0.5931648224427205,0.6383576686648895,0.7429625754175221,0.7385698252839387,0.748198459848842,cluster,<class 'sklearn.cluster._kmeans.KMeans'>,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
